route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,direction_name,wheelchair_accessible
917,SatSunReg,2338__261002_Timetable_-_2025-02,Pickering Parkway Terminal,1,261002_Timetable_-_2025-02,100.0.1952648901_Timetable_-_2025-02,Westbound,1
224,Weekday,2339__201018_Timetable_-_2025-02,Taunton,0,201018_Timetable_-_2025-02,100.0.1952649895_Timetable_-_2025-02,Northbound,1
407,Weekday,233__401012_Timetable_-_2025-02,Harmony,0,401012_Timetable_-_2025-02,100.0.1952647813_Timetable_-_2025-02,Northbound,1
917,SatSunReg,2340__261002_Timetable_-_2025-02,Pickering Parkway Terminal,1,261002_Timetable_-_2025-02,100.0.1952648901_Timetable_-_2025-02,Westbound,1
917,SatSunReg,2341__261008_Timetable_-_2025-02,Oshawa Centre Terminal,0,261008_Timetable_-_2025-02,100.0.1952648902_Timetable_-_2025-02,Eastbound,1
917,Weekday,2342__201050_Timetable_-_2025-02,Pickering Parkway Terminal,1,201050_Timetable_-_2025-02,100.0.1952648901_Timetable_-_2025-02,Westbound,1
502,SatSun,2343__461027_Timetable_-_2025-02,Clarington Boulevard,1,461027_Timetable_-_2025-02,100.0.1952652001_Timetable_-_2025-02,Westbound,1
224,Weekday,2344__201077_Timetable_-_2025-02,Taunton,0,201077_Timetable_-_2025-02,100.0.1952649895_Timetable_-_2025-02,Northbound,1
917,Weekday,2346__201052_Timetable_-_2025-02,Oshawa Centre Terminal,0,201052_Timetable_-_2025-02,100.0.1952648902_Timetable_-_2025-02,Eastbound,1
917,Weekday,2347__201048_Timetable_-_2025-02,Pickering Parkway Terminal,1,201048_Timetable_-_2025-02,100.0.1952648901_Timetable_-_2025-02,Westbound,1
224,Weekday,2348__201074_Timetable_-_2025-02,Ajax Station,1,201074_Timetable_-_2025-02,100.0.1952649892_Timetable_-_2025-02,Southbound,1
917,SatSunReg,2349__261008_Timetable_-_2025-02,Pickering Parkway Terminal,1,261008_Timetable_-_2025-02,100.0.1952648901_Timetable_-_2025-02,Westbound,1
407,Weekday,234__401010_Timetable_-_2025-02,C - Harmony,0,401010_Timetable_-_2025-02,100.0.1046829531_Timetable_-_2025-02,Northbound,1
917,SatSunReg,2350__261007_Timetable_-_2025-02,Pickering Parkway Terminal,1,261007_Timetable_-_2025-02,100.0.1952648901_Timetable_-_2025-02,Westbound,1
224,SatSun,2351__261004_Timetable_-_2025-02,Ajax Station,1,261004_Timetable_-_2025-02,100.0.1952649892_Timetable_-_2025-02,Southbound,1
